index_col,constituent_col,coef
col_11,col_00,0.04196721469321569
col_11,col_01,0.020473454217882946
col_11,col_06,0.035436766547488466
col_11,col_07,0.08009315877163009
col_11,col_08,0.02728016375126725
col_11,col_13,0.07621018562965191
col_11,col_14,0.01753410146622049
col_11,col_16,0.014558826457470048
col_11,col_17,0.07983555813425201
col_11,col_18,0.06762407849302543
col_11,col_19,0.03347552249250618
col_11,col_21,0.05740586038206995
col_11,col_22,0.05176078924192854
col_11,col_23,0.034194729832050935
col_11,col_25,0.03519209183247273
col_11,col_27,0.010494889614613487
col_11,col_29,0.02325865616764835
col_11,col_33,0.024931974543818448
col_11,col_35,0.042092869060286066
col_11,col_36,0.044160902355273327
col_11,col_37,0.015888401033164183
col_11,col_40,0.04625082298508985
col_11,col_41,0.03472366822997725
col_11,col_43,0.046838373221874084
col_11,col_44,0.0383169408451223
